epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2381.72,1.57153,3.63166,1.60362,0.33915,0.32617,0.23208,0.09199,1.92477,3.42106,2.53572,0.000663477,0.000663477,0.000663477
2,3235.51,1.82031,3.06233,1.82944,0.27306,0.18164,0.15542,0.07895,2.00846,2.99769,2.35093,0.00119846,0.00119846,0.00119846
3,4099.48,1.89194,2.85649,1.86722,0.4993,0.30384,0.29823,0.1824,1.83227,2.43814,2.16321,0.00160144,0.00160144,0.00160144
4,4974.75,1.8653,2.74307,1.84748,0.63266,0.33594,0.34897,0.21732,1.62357,2.21815,2.02716,0.001406,0.001406,0.001406
5,5846.72,1.7843,2.64865,1.77402,0.65169,0.3435,0.37573,0.23445,1.69247,2.17597,2.0786,0.001208,0.001208,0.001208
6,6714.35,1.7187,2.55204,1.7277,0.65767,0.4082,0.42376,0.28234,1.49453,1.97357,1.86481,0.00101,0.00101,0.00101
7,7585.39,1.65105,2.46448,1.67589,0.66732,0.39178,0.42161,0.27626,1.45413,1.95048,1.82381,0.000812,0.000812,0.000812
8,8448.39,1.59804,2.41351,1.63435,0.64171,0.3813,0.41995,0.2811,1.36873,1.96499,1.72602,0.000614,0.000614,0.000614
9,9551.97,1.54052,2.33721,1.5849,0.64785,0.37305,0.4316,0.29006,1.35809,1.92832,1.72346,0.000416,0.000416,0.000416
10,10421.9,1.50143,2.28901,1.55097,0.68368,0.36133,0.4231,0.27966,1.34429,1.87527,1.73254,0.000218,0.000218,0.000218
